name,trueheight,shoeheight,weight,wingspan,reach,standvert,agility,sprint,draft,class
Andre Drummond,"6' 9.75""","6' 11.75""",279,"7' 6.25""","9' 1.5""",31.5,10.83,3.39,9,2012
Terrence Ross,"6' 6""","6' 7""",197,"6' 7.25""","8' 4.5""",31,11.78,3.28,8,2012
Harrison Barnes,"6' 7""","6' 8""",228,"6' 11.25""","8' 5.5""",38,10.93,3.16,7,2012
Damian Lillard,"6' 1.75""","6' 2.75""",189,"6' 7.75""","7' 11.5""",34.5,11.15,3.34,6,2012
Thomas Robinson,"6' 7.75""","6' 8.75""",244,"7' 3.25""","8' 10""",28.5,11.96,3.17,5,2012
Dion Waiters,"6' 2.5""","6' 4""",221,"6' 7.25""","8' 2""",,,,4,2012
Bradley Beal,"6' 3.25""","6' 4.75""",202,"6' 8""","8' 4""",33,10.95,3.28,3,2012
Michael Kidd-Gilchrist,"6' 5.75""","6' 7.5""",233,"7' 0""","8' 8.5""",32,11.77,3.18,2,2012
Anthony Davis,"6' 9.25""","6' 10.5""",222,"7' 5.5""","9' 0""",,,,1,2012
Steven Adams,6' 10.75'',7' 0'',254.5,7' 4.5'',9' 1.5'',28.5,11.85,3.4,,2013
Vander Blue,6' 3.5'',6' 5.25'',197.4,6' 6'',8' 4.5'',28,10.4,3.14,,2013
Lorenzo Brown,6' 4'',6' 5.25'',189.2,6' 7'',8' 4'',28,11.78,3.4,,2013
Reggie Bullock,6' 5.75'',6' 7'',199.8,6' 8.75'',8' 6'',31,11.33,3.31,,2013
Trey Burke,5' 11.75'',6' 1.25'',187,6' 5.5'',8' 1.5'',29.5,11.2,3.16,,2013
Kentavious Caldwell-Pope,6' 4.5'',6' 5.5'',203.6,6' 8'',8' 4.5'',29,10.6,3.12,,2013
Isaiah Canaan,5' 11'',6' 0'',188.4,6' 4.5'',7' 10.5'',33,10.98,3.22,,2013
Jackie Carmichael,6' 7.5'',6' 9'',241.2,7' 1.5'',8' 11'',30,11.83,3.35,,2013
Michael Carter-Williams,6' 4.75'',6' 5.75'',184.4,6' 7.25'',8' 5'',31.5,10.68,3.22,,2013
Will Clyburn,6' 5.75'',6' 7'',210.4,7' 0.25'',8' 9'',28,11.68,3.38,,2013
Robert Covington,6' 6.25'',6' 7.5'',208.6,7' 1.75'',8' 10'',29.5,11.69,3.34,,2013
Allen Crabbe,6' 5.25'',6' 6.25'',197.4,6' 11.25'',8' 7.5'',30.5,10.67,3.32,,2013
Seth Curry,6' 1'',6' 3'',179.2,6' 4'',8' 1.5'',,,,,2013
Brandon Davies,6' 8.5'',6' 10.25'',241.8,7' 1.5'',9' 0.5'',26,11.22,3.5,,2013
Dewayne Dedmon,6' 10'',6' 11.5'',238.8,7' 4'',9' 1'',28,12.75,3.4,,2013
Gorgui Dieng,6' 9.75'',6' 10.75'',229.6,7' 3.5'',9' 3.5'',,,,,2013
James Ennis,6' 5.75'',6' 7'',200.8,6' 11.5'',8' 8.5'',29.5,11.55,3.4,,2013
Carrick Felix,6' 4.75'',6' 6.25'',202.6,6' 9.25'',8' 7.5'',32,11.16,3.25,,2013
Jamaal Franklin,6' 4'',6' 5.25'',190.8,6' 11.25'',8' 7.5'',,,,,2013
Rudy Gobert,7' 0.5'',7' 2'',237.6,7' 8.5'',9' 7'',25,12.85,3.57,,2013
Archie Goodwin,6' 3.75'',6' 5.25'',189,6' 9.5'',8' 6'',30,10.75,3.27,,2013
Erick Green,6' 1.5'',6' 3'',178.2,6' 5.75'',8' 2'',,,,,2013
Tim Hardaway Jr.,6' 4.5'',6' 6.25'',199.4,6' 7'',8' 5'',31.5,10.68,3.25,,2013
Solomon Hill,6' 5.5'',6' 7'',226,6' 9'',8' 7'',29.5,10.77,3.19,,2013
Richard Howell,6' 6.25'',6' 7.5'',249.6,6' 10.25'',8' 9.5'',,,,,2013
Colton Iverson,6' 10.5'',7' 0'',262.8,7' 2'',9' 2'',26.5,11.52,3.52,,2013
Pierre Jackson,5' 9.5'',5' 10.5'',176,5' 10'',7' 6'',,,,,2013
Grant Jerrett,6' 8.75'',6' 10.25'',232,7' 2'',9' 1'',28.5,11.85,3.51,,2013
Myck Kabongo,6' 1.25'',6' 2.75'',180.4,6' 6.25'',8' 2'',27.5,10.64,3.34,,2013
Kenny Kadji,6' 8.75'',6' 10'',241.6,7' 3'',8' 10.5'',34,11.47,3.44,,2013
Ryan Kelly,6' 9.75'',6' 11.75'',228,6' 11.5'',9' 2'',,,,,2013
Shane Larkin,5' 10.25'',5' 11.5'',170.8,5' 10.75'',7' 5.5'',34.5,10.64,3.08,,2013
Ricky Ledo,6' 4.75'',6' 6'',197.2,6' 7.25'',8' 6.5'',27,10.72,3.32,,2013
Alex Len,,,,7' 3.5'',,,,,,2013
C.J. Leslie,6' 7.5'',6' 8.75'',209.2,7' 2.25'',8' 8.5'',32.5,10.19,3.1,,2013
Trevor Mbakwe,6' 6.75'',6' 8'',235.8,7' 4'',8' 10.5'',30,12.01,3.32,,2013
Ray McCallum,6' 0.25'',6' 1.75'',191.4,6' 3.25'',8' 0.5'',30.5,10.82,3.25,,2013
CJ McCollum,6' 2.25'',6' 3.25'',197,6' 6.25'',8' 0.5'',32,11.02,3.32,,2013
Ben McLemore,6' 3.5'',6' 4.75'',189.2,6' 7.75'',8' 4.5'',32.5,11.87,3.27,,2013
Tony Mitchell,6' 7.5'',6' 8.75'',236.4,7' 2.5'',8' 10.5'',33.5,11.82,3.52,,2013
Shabazz Muhammad,6' 4.75'',6' 6.25'',221.8,6' 11'',8' 8.5'',29.5,10.99,3.32,,2013
